,feature,importance
0,FLAG_EMP_PHONE,1.4
1,DEF_60_CNT_SOCIAL_CIRCLE,22.799999999999997
2,LIVE_REGION_NOT_WORK_REGION,0.6000000000000001
3,YEARS_BEGINEXPLUATATION_AVG,19.8
4,APARTMENTS_MODE,30.0
5,FLAG_MOBIL,0.0
6,FLOORSMIN_MEDI,5.200000000000001
7,BASEMENTAREA_AVG,21.8
8,LANDAREA_MODE,27.2
9,FLAG_DOCUMENT_21,0.0
10,AMT_GOODS_PRICE,144.2
11,COMMONAREA_MODE,22.200000000000003
12,APARTMENTS_MEDI,17.6
13,EXT_SOURCE_1,357.6
14,EXT_SOURCE_3,311.6
15,FLAG_DOCUMENT_16,13.0
16,LIVINGAPARTMENTS_MODE,20.8
17,ENTRANCES_MEDI,6.8
18,YEARS_BEGINEXPLUATATION_MODE,24.8
19,APARTMENTS_AVG,21.599999999999998
20,FLAG_DOCUMENT_12,0.0
21,FLAG_DOCUMENT_5,0.4
22,DAYS_LAST_PHONE_CHANGE,86.4
23,ELEVATORS_MODE,4.2
24,BASEMENTAREA_MODE,21.6
25,FLAG_DOCUMENT_13,7.8
26,FLAG_DOCUMENT_3,25.6
27,REGION_RATING_CLIENT,6.4
28,FLAG_DOCUMENT_6,0.8
29,AMT_REQ_CREDIT_BUREAU_DAY,1.4
30,COMMONAREA_AVG,16.0
31,DAYS_BIRTH,228.6
32,FLAG_DOCUMENT_14,2.0
33,FLOORSMAX_MEDI,4.8
34,OBS_30_CNT_SOCIAL_CIRCLE,9.4
35,YEARS_BEGINEXPLUATATION_MEDI,17.8
36,CNT_FAM_MEMBERS,6.2
37,FLOORSMAX_MODE,4.2
38,YEARS_BUILD_AVG,13.4
39,ENTRANCES_AVG,10.200000000000001
40,FLAG_DOCUMENT_10,0.0
41,ENTRANCES_MODE,6.2
42,DAYS_ID_PUBLISH,122.8
43,REGION_POPULATION_RELATIVE,72.80000000000001
44,FLAG_DOCUMENT_18,17.0
45,FLAG_DOCUMENT_7,0.0
46,FLAG_DOCUMENT_11,2.9999999999999996
47,OBS_60_CNT_SOCIAL_CIRCLE,10.8
48,FLAG_DOCUMENT_15,1.6
49,COMMONAREA_MEDI,14.8
50,FLAG_PHONE,7.6000000000000005
51,DAYS_REGISTRATION,92.6
52,REGION_RATING_CLIENT_W_CITY,29.200000000000003
53,NONLIVINGAREA_MEDI,17.0
54,YEARS_BUILD_MODE,13.6
55,AMT_CREDIT,204.4
56,LIVINGAPARTMENTS_MEDI,14.999999999999998
57,FLOORSMIN_MODE,6.199999999999999
58,EXT_SOURCE_2,307.0
59,HOUR_APPR_PROCESS_START,28.8
60,FLOORSMIN_AVG,11.400000000000002
61,YEARS_BUILD_MEDI,9.2
62,OWN_CAR_AGE,104.0
63,FLAG_CONT_MOBILE,0.0
64,FLAG_DOCUMENT_2,0.0
65,REG_REGION_NOT_LIVE_REGION,0.4
66,DEF_30_CNT_SOCIAL_CIRCLE,23.8
67,NONLIVINGAREA_MODE,21.4
68,REG_CITY_NOT_WORK_CITY,2.2
69,DAYS_EMPLOYED,150.20000000000002
70,LIVINGAREA_MEDI,18.4
71,FLAG_DOCUMENT_4,0.0
72,ELEVATORS_MEDI,3.4
73,FLAG_DOCUMENT_8,1.0
74,LIVINGAPARTMENTS_AVG,12.0
75,FLAG_DOCUMENT_9,0.2
76,LIVINGAREA_AVG,15.600000000000001
77,AMT_REQ_CREDIT_BUREAU_HOUR,0.4
78,FLAG_DOCUMENT_17,0.0
79,NONLIVINGAPARTMENTS_MEDI,4.8
80,CNT_CHILDREN,4.0
81,FLAG_WORK_PHONE,16.6
82,FLAG_DOCUMENT_19,0.0
83,REG_CITY_NOT_LIVE_CITY,17.0
84,NONLIVINGAPARTMENTS_AVG,8.600000000000001
85,AMT_INCOME_TOTAL,53.4
86,BASEMENTAREA_MEDI,14.599999999999998
87,AMT_REQ_CREDIT_BUREAU_QRT,21.2
88,LANDAREA_AVG,17.199999999999996
89,LANDAREA_MEDI,14.0
90,TOTALAREA_MODE,34.0
91,AMT_ANNUITY,195.20000000000002
92,NONLIVINGAREA_AVG,23.199999999999996
93,ELEVATORS_AVG,6.199999999999999
94,NONLIVINGAPARTMENTS_MODE,7.6
95,LIVINGAREA_MODE,25.400000000000002
96,FLAG_EMAIL,0.6000000000000001
97,FLOORSMAX_AVG,13.0
98,REG_REGION_NOT_WORK_REGION,0.8
99,LIVE_CITY_NOT_WORK_CITY,1.2000000000000002
100,AMT_REQ_CREDIT_BUREAU_WEEK,2.2
101,AMT_REQ_CREDIT_BUREAU_YEAR,13.600000000000001
102,AMT_REQ_CREDIT_BUREAU_MON,10.600000000000001
103,FLAG_DOCUMENT_20,0.2
104,MEAN(credit.AMT_PAYMENT_TOTAL_CURRENT),3.4000000000000004
105,MIN(credit.MONTHS_BALANCE),6.0
106,MAX(credit.AMT_RECEIVABLE_PRINCIPAL),2.2
107,SUM(credit.AMT_DRAWINGS_OTHER_CURRENT),0.8
108,MAX(bureau.AMT_ANNUITY),24.599999999999998
109,SUM(previous_app.DAYS_FIRST_DUE),20.0
110,SUM(bureau_balance.MONTHS_BALANCE),18.6
111,SUM(previous_app.DAYS_TERMINATION),22.0
112,COUNT(bureau),14.400000000000002
113,MAX(credit.SK_DPD_DEF),0.4
114,SUM(previous_app.AMT_DOWN_PAYMENT),55.599999999999994
115,MAX(bureau.DAYS_CREDIT_ENDDATE),121.8
116,SUM(bureau.DAYS_ENDDATE_FACT),28.6
117,MAX(previous_app.CNT_PAYMENT),32.800000000000004
118,MIN(bureau.AMT_CREDIT_SUM_OVERDUE),0.0
119,MAX(bureau.CREDIT_DAY_OVERDUE),0.6000000000000001
120,MEAN(credit.AMT_DRAWINGS_OTHER_CURRENT),1.0
121,MIN(credit.AMT_PAYMENT_TOTAL_CURRENT),0.8
122,MAX(credit.AMT_INST_MIN_REGULARITY),2.4
123,MAX(previous_app.AMT_GOODS_PRICE),25.2
124,MEAN(previous_app.AMT_ANNUITY),43.0
125,MAX(credit.AMT_PAYMENT_TOTAL_CURRENT),3.8
126,MAX(bureau.DAYS_CREDIT_UPDATE),56.8
